date,Country,Confirmed,Deaths,Recovered,Active
2020-03-22,Uganda,1,0,0,1
2020-03-23,Uganda,9,0,0,9
2020-03-24,Uganda,9,0,0,9
2020-03-25,Uganda,14,0,0,14
2020-03-26,Uganda,14,0,0,14
2020-03-27,Uganda,23,0,0,23
2020-03-28,Uganda,30,0,0,30
2020-03-29,Uganda,33,0,0,33
2020-03-30,Uganda,33,0,0,33
2020-03-31,Uganda,44,0,0,44
2020-04-01,Uganda,44,0,0,44
2020-04-02,Uganda,45,0,0,45
2020-04-03,Uganda,48,0,0,48
2020-04-04,Uganda,48,0,0,48
2020-04-05,Uganda,52,0,0,52
2020-04-06,Uganda,52,0,0,52
2020-04-07,Uganda,52,0,0,52
2020-04-08,Uganda,53,0,0,53
2020-04-09,Uganda,53,0,0,53
2020-04-10,Uganda,53,0,0,53
2020-04-11,Uganda,53,0,4,49
2020-04-12,Uganda,54,0,4,50
2020-04-13,Uganda,54,0,7,47
2020-04-14,Uganda,55,0,8,47
2020-04-15,Uganda,55,0,12,43
2020-04-16,Uganda,55,0,20,35
2020-04-17,Uganda,56,0,20,36
2020-04-18,Uganda,55,0,22,33
2020-04-19,Uganda,55,0,28,27
2020-04-20,Uganda,56,0,38,18
2020-04-21,Uganda,61,0,38,23
2020-04-22,Uganda,63,0,45,18
2020-04-23,Uganda,74,0,46,28
2020-04-24,Uganda,75,0,46,29
2020-04-25,Uganda,75,0,46,29
2020-04-26,Uganda,79,0,46,33
2020-04-27,Uganda,79,0,47,32
2020-04-28,Uganda,79,0,52,27
2020-04-29,Uganda,81,0,52,29
2020-04-30,Uganda,83,0,52,31
2020-05-01,Uganda,85,0,52,33
2020-05-02,Uganda,88,0,52,36
2020-05-03,Uganda,89,0,52,37
2020-05-04,Uganda,97,0,55,42
2020-05-05,Uganda,98,0,55,43
2020-05-06,Uganda,100,0,55,45
2020-05-07,Uganda,101,0,55,46
2020-05-08,Uganda,101,0,55,46
2020-05-09,Uganda,116,0,55,61
2020-05-10,Uganda,121,0,55,66
2020-05-11,Uganda,121,0,55,66
2020-05-12,Uganda,129,0,55,74
2020-05-13,Uganda,139,0,55,84
2020-05-14,Uganda,160,0,63,97
2020-05-15,Uganda,203,0,63,140
2020-05-16,Uganda,227,0,63,164
2020-05-17,Uganda,227,0,63,164
2020-05-18,Uganda,248,0,63,185
